#Time;x(km);y(km);z(km);alt(km);relVel;dwnrng(km);Q(kPa);Fuel(tons);dV_tot;dV_grav;dv_drag;throttle;accel;aoa;aov;pitch;Cd;x(km);y(km);z(km);yaw;c_thrust;incl
-19.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;28.61;28.61;0.200;954.725;-5517.476;3053.973;90.00;0.000;28.608
-18.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;28.61;28.61;0.200;955.128;-5517.406;3053.973;90.00;0.000;28.608
-17.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;28.61;28.61;0.200;955.530;-5517.337;3053.973;90.00;0.000;28.608
-16.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;28.61;28.61;0.200;955.932;-5517.267;3053.973;90.00;0.000;28.608
-15.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;28.61;28.61;0.200;956.335;-5517.197;3053.973;90.00;0.000;28.608
-14.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;28.61;28.61;0.200;956.737;-5517.127;3053.973;90.00;0.000;28.608
-13.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;28.61;28.61;0.200;957.139;-5517.058;3053.973;90.00;0.000;28.608
-12.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;28.61;28.61;0.200;957.542;-5516.988;3053.973;90.00;0.000;28.608
-11.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;28.61;28.61;0.200;957.944;-5516.918;3053.973;90.00;0.000;28.608
-10.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;28.61;28.61;0.200;958.346;-5516.848;3053.973;90.00;0.000;28.608
 -9.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;28.61;28.61;0.200;958.749;-5516.778;3053.973;90.00;0.000;28.608
 -8.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;28.61;28.61;0.200;959.151;-5516.708;3053.973;90.00;0.000;28.608
 -7.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;28.61;28.61;0.200;959.553;-5516.638;3053.973;90.00;0.000;28.608
 -6.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;28.61;28.61;0.200;959.955;-5516.568;3053.973;90.00;0.000;28.608
 -5.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;28.61;28.61;0.200;960.358;-5516.498;3053.973;90.00;0.000;28.608
 -4.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.30;0.00;28.61;28.61;0.200;960.760;-5516.428;3053.973;90.00;0.000;28.608
 -3.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.46;0.00;28.61;28.61;0.200;961.162;-5516.358;3053.973;90.00;0.000;28.608
 -2.00;914.144;-5524.344;3053.973;   0.012;   0.0;0.000;0.000;407.576; 13.218;  0.000;  0.000;0.8100;2.05;0.00;28.61;28.61;0.200;914.547;-5524.277;3053.973;90.00;0.000;28.608
 -1.00;914.144;-5524.344;3053.973;   0.012;   0.0;0.000;0.000;405.602; 26.698;  0.000;  0.000;0.8100;2.05;0.00;28.61;28.61;0.200;914.950;-5524.210;3053.973;90.00;0.000;28.608
 -0.00;914.144;-5524.344;3053.973;   0.012;   0.0;0.000;0.000;403.628; 40.243;  0.000;  0.000;0.8100;2.06;0.00;28.61;28.61;0.200;915.352;-5524.144;3053.973;90.00;0.000;28.608
  0.05;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;403.480; 41.504;  0.000;  0.000;0.8100;1.39;61.39;28.61;90.00;0.200;914.144;-5524.344;3053.973;-90.00;0.000;28.608
  1.05;914.144;-5524.346;3053.974;   0.015;   3.9;0.000;0.009;401.506; 55.120;  0.000;  0.000;0.8100;1.39;0.21;89.79;90.00;0.200;914.547;-5524.279;3053.974;180.00;0.000;28.608
  2.05;914.145;-5524.351;3053.977;   0.020;   7.9;0.000;0.036;399.533; 68.805;  0.000;  0.000;0.8100;1.40;0.21;89.79;89.99;0.200;914.951;-5524.218;3053.977;180.00;0.000;28.608
  3.05;914.146;-5524.359;3053.982;   0.030;  11.8;0.000;0.082;397.559; 82.559;  0.000;  0.000;0.8100;1.41;0.21;89.79;89.99;0.200;915.355;-5524.159;3053.982;179.99;0.000;28.608
  4.05;914.148;-5524.371;3053.988;   0.044;  15.9;0.000;0.149;395.585; 96.385;  0.000;  0.000;0.8100;1.41;0.21;89.79;89.99;0.200;915.760;-5524.105;3053.988;179.99;0.000;28.608
  5.05;914.151;-5524.387;3053.997;   0.062;  20.0;0.000;0.237;393.612;110.283;  0.000;  0.000;0.8100;1.42;0.21;89.79;89.98;0.200;916.165;-5524.053;3053.997;179.99;0.000;28.608
  6.05;914.154;-5524.406;3054.007;   0.084;  24.2;0.000;0.347;391.638;124.255;  0.000;  0.000;0.8100;1.43;0.21;89.79;89.98;0.200;916.571;-5524.005;3054.007;179.99;0.000;28.608
