#Time;x(km);y(km);z(km);alt(km);relVel;dwnrng(km);Q(kPa);Fuel(tons);dV_tot;dV_grav;dv_drag;throttle;accel;aoa;aov;pitch;Cd;x(km);y(km);z(km);yaw;c_thrust;incl
-20.00;-2672.376;-4516.832;3624.807;   0.153;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;34.63;0.200;-2672.376;-4516.832;3624.807;90.00;0.000;34.632
-19.00;-2672.376;-4516.832;3624.807;   0.153;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;34.63;0.200;-2672.376;-4516.832;3624.807;90.00;0.000;34.632
-18.00;-2672.376;-4516.832;3624.807;   0.153;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;34.63;0.200;-2672.376;-4516.832;3624.807;90.00;0.000;34.632
-17.00;-2672.376;-4516.832;3624.807;   0.153;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;34.63;0.200;-2672.376;-4516.832;3624.807;90.00;0.000;34.632
-16.00;-2672.376;-4516.832;3624.807;   0.153;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;34.63;0.200;-2672.376;-4516.832;3624.807;90.00;0.000;34.632
-15.00;-2672.376;-4516.832;3624.807;   0.153;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;34.63;0.200;-2672.376;-4516.832;3624.807;90.00;0.000;34.632
-14.00;-2672.376;-4516.832;3624.807;   0.153;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;34.63;0.200;-2672.376;-4516.832;3624.807;90.00;0.000;34.632
-13.00;-2672.376;-4516.832;3624.807;   0.153;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;34.63;0.200;-2672.376;-4516.832;3624.807;90.00;0.000;34.632
-12.00;-2672.376;-4516.832;3624.807;   0.153;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;34.63;0.200;-2672.376;-4516.832;3624.807;90.00;0.000;34.632
-11.00;-2672.376;-4516.832;3624.807;   0.153;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;34.63;0.200;-2672.376;-4516.832;3624.807;90.00;0.000;34.632
-10.00;-2672.376;-4516.832;3624.807;   0.153;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;34.63;0.200;-2672.376;-4516.832;3624.807;90.00;0.000;34.632
 -9.00;-2672.376;-4516.832;3624.807;   0.153;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;34.63;0.200;-2672.376;-4516.832;3624.807;90.00;0.000;34.632
 -8.00;-2672.376;-4516.832;3624.807;   0.153;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;34.63;0.200;-2672.376;-4516.832;3624.807;90.00;0.000;34.632
 -7.00;-2672.376;-4516.832;3624.807;   0.153;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;34.63;0.200;-2672.376;-4516.832;3624.807;90.00;0.000;34.632
 -6.00;-2672.376;-4516.832;3624.807;   0.153;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;34.63;0.200;-2672.376;-4516.832;3624.807;90.00;0.000;34.632
 -5.00;-2672.376;-4516.832;3624.807;   0.153;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;34.63;0.200;-2672.376;-4516.832;3624.807;90.00;0.000;34.632
 -4.00;-2672.376;-4516.832;3624.807;   0.153;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;34.63;0.200;-2672.376;-4516.832;3624.807;90.00;0.000;34.632
 -3.00;-2672.376;-4516.832;3624.807;   0.153;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;34.63;0.200;-2672.376;-4516.832;3624.807;90.00;0.000;34.632
 -2.00;-2672.376;-4516.832;3624.807;   0.153;   0.0;0.000;0.000;408.503;  4.994;  0.000;  0.000;0.4000;0.48;0.00;90.00;34.63;0.200;-2672.376;-4516.832;3624.807;90.00;0.000;34.632
 -1.00;-2672.376;-4516.832;3624.807;   0.153;   0.0;0.000;0.000;407.114; 11.968;  0.000;  0.000;0.7000;0.09;0.00;90.00;34.63;0.200;-2672.376;-4516.832;3624.807;90.00;0.000;34.632
  0.00;-2672.376;-4516.832;3624.807;   0.153;   0.0;0.000;0.000;404.978; 22.730;  0.000;  0.000;1.0000;0.31;0.00;90.00;34.63;0.200;-2672.376;-4516.832;3624.807;90.00;0.000;34.632
  0.10;-2672.376;-4516.832;3624.807;   0.153;   0.2;0.000;0.000;404.729; 23.988;  0.000;  0.000;1.0000;1.31;2.31;87.69;90.00;0.200;-2672.343;-4516.852;3624.807;180.00;0.000;34.632
  1.10;-2672.376;-4516.833;3624.808;   0.155;   3.3;0.000;0.007;402.237; 36.598;  0.000;  0.000;1.0000;1.32;0.33;89.67;90.00;0.200;-2672.014;-4517.048;3624.808;180.00;0.000;34.632
  2.10;-2672.378;-4516.837;3624.811;   0.160;   6.5;0.000;0.025;399.745; 49.265;  0.000;  0.000;1.0000;1.32;0.30;89.69;89.99;0.200;-2671.687;-4517.246;3624.811;180.00;0.000;34.632
  3.10;-2672.382;-4516.843;3624.815;   0.168;   9.7;0.000;0.056;397.254; 61.992;  0.000;  0.000;1.0000;1.33;0.30;89.70;89.99;0.200;-2671.361;-4517.447;3624.815;179.99;0.000;34.632
